bin(5m),count()
2026-05-05 15:50:00.000,4
2026-05-05 15:20:00.000,2
2026-05-05 15:15:00.000,2
2026-05-05 15:10:00.000,4
2026-05-05 14:55:00.000,2
2026-05-05 14:40:00.000,4
2026-05-05 14:20:00.000,2
2026-05-05 14:15:00.000,2
2026-05-05 11:35:00.000,2
2026-05-05 11:15:00.000,2
2026-05-05 10:25:00.000,2
2026-05-01 15:50:00.000,2
2026-05-01 15:45:00.000,4
2026-05-01 11:05:00.000,4
2026-05-01 10:10:00.000,2
2026-04-30 09:20:00.000,2
2026-04-30 09:15:00.000,2
2026-04-30 09:00:00.000,2
2026-04-29 14:55:00.000,2
2026-04-28 17:00:00.000,2
2026-04-28 16:20:00.000,2
2026-04-23 17:45:00.000,2
2026-04-23 17:40:00.000,2
2026-04-23 17:35:00.000,4
2026-04-23 17:10:00.000,1
2026-04-22 13:20:00.000,2
2026-04-18 11:20:00.000,3
2026-04-18 11:10:00.000,3
2026-04-18 11:00:00.000,3
2026-04-18 10:50:00.000,2
2026-04-18 10:45:00.000,2
2026-04-18 10:35:00.000,2
2026-04-18 10:25:00.000,1
2026-04-18 10:20:00.000,1
